Diarienummer,Anordnare namn,Utbildningsnamn,Utbildningsområde,Belsut år 2020 april antal beviljade platser 2020,Beslut år 2020 april antal beviljade platser 2021,Beslut år 2020 Juli antal beviljade platser 2020,Beslut år 2021 antal beviljade platser 2021,Beslut år 2021 antal beviljade  platser 2022,Beslut år 2022 antal beviljade platser 2022,Beslut år 2022 antal beviljade platser 2023,Beslut år 2023 antal beviljade platser utökad-anslag 2023,Beslut år 2023 antal beviljade platser utökad-anslag 2024,Beslut år 2023 antal beviljade platser 2023,Beslut år 2023 antal beviljade platser 2024,Beslut år 2024 antal beviljade platser start 2024,Beslut år 2024 antal beviljade start och avslut 2024,Beslut år 2024 antal beviljade start 2025,YH-poäng,Kommun,Län,FA-region,Antal kommuner,Antal län,Antal FA-regioner
MYH 2023/1253,Hyper Island Program AB - Karlskrona,Business Development - Digitalization & Sustainability,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,50,50,0,0,0,65,Karlskrona,Blekinge,Karlskrona,1,1,1
MYH 2023/1254,Hyper Island Program AB - Stockholm,Sustainability Change Leadership,"Ekonomi, administration och försäljning",0,0,0,0,0,0,0,0,0,0,60,0,0,0,55,"Se ""Lista flera kommuner""","Se ""Lista flera kommuner""","Se ""Lista flera kommuner""",1,2,2
MYH 2023/1263,Nackademin AB,Miljöcertifiering och hållbart byggande ,Samhällsbyggnad och byggteknik,0,0,0,0,0,0,0,0,0,35,70,0,0,0,20,Solna,Stockholm,Stockholm,1,1,1
MYH 2023/1264,Borås Stad - Yrkeshögskolan i Borås,3D Clo Fördjupning Modedesigner,Teknik och tillverkning,0,0,0,0,0,0,0,0,0,0,25,0,0,0,15,Borås,Västra Götaland,Borås,1,1,1
MYH 2023/1266,Borås Stad - Yrkeshögskolan i Borås,3D Clo modedesign och mönsterkonstruktion,Teknik och tillverkning,0,0,0,0,0,0,0,0,0,25,50,0,0,0,15,Borås,Västra Götaland,Borås,1,1,1
MYH 2023/1267,Nercia Utbildning,Modern Fastighetsautomation med IoT (Internet of Things) - ÖREBRO,Samhällsbyggnad och byggteknik,0,0,0,0,0,0,0,0,0,30,30,0,0,0,70,Örebro,Örebro,Örebro,1,1,1
MYH 2023/1268,Borås Stad - Yrkeshögskolan i Borås,3D Clo Fördjupning Mönsterkonstruktör,Teknik och tillverkning,0,0,0,0,0,0,0,0,0,25,25,0,0,0,15,Borås,Västra Götaland,Borås,1,1,1
MYH 2023/1280,Gunnebo Slott och Trädgårdar AB,"Ängar - skötsel, anläggning och restaurering","Lantbruk, djurvård, trädgård, skog och fiske",0,0,0,0,0,0,0,0,0,0,25,0,0,0,40,Mölndal,Västra Götaland,Göteborg,1,1,1
MYH 2023/1284,IT-Högskolan Sverige AB,Pythonprogrammering för AI-utveckling,Data/IT,0,0,0,0,0,0,0,0,0,20,60,0,0,0,30,Göteborg,Västra Götaland,Göteborg,1,1,1
MYH 2023/1286,IT-Högskolan Stockholm AB,Webbutveckling med React,Data/IT,0,0,0,0,0,0,0,0,0,25,50,0,0,0,30,Stockholm,Stockholm,Stockholm,1,1,1
